datetime,price,volume
6/27/19 13:54,275.2,10700
6/27/19 13:55,275.4,18800
6/27/19 13:56,275.2,1800
6/27/19 13:57,275.4,9900
6/27/19 13:58,275.4,24800
6/27/19 13:59,275.4,1400
6/27/19 14:00,275.3,900
6/27/19 14:01,275.4,500
6/27/19 14:02,275.6,6900
6/27/19 14:03,275.4,6600
6/27/19 14:04,275.4,800
6/27/19 14:05,275.2,16800
6/27/19 14:06,275,700
6/27/19 14:07,275.2,900
6/27/19 14:08,275.3,11000
6/27/19 14:09,275.4,1900
6/27/19 14:10,275.6,3800
6/27/19 14:11,275.6,2800
6/27/19 14:12,275.6,2400
6/27/19 14:13,275.6,2300
6/27/19 14:14,275.6,13800
6/27/19 14:15,275.5,800
6/27/19 14:16,275.6,9700
6/27/19 14:17,275.6,1600
6/27/19 14:18,275.6,1600
6/27/19 14:19,275.6,2900
6/27/19 14:20,275.4,2000
6/27/19 14:21,275.4,2600
6/27/19 14:22,275.6,1200
6/27/19 14:23,275.5,6800
6/27/19 14:24,275.6,32000
6/27/19 14:25,275.8,1900
6/27/19 14:26,275.8,7100
6/27/19 14:27,275.8,6100
6/27/19 14:28,276,44300
6/27/19 14:29,276,7200
6/27/19 14:30,276,2000
6/27/19 14:31,276,19000
6/27/19 14:32,275.9,9300
6/27/19 14:33,276,24900
6/27/19 14:34,275.8,36300
6/27/19 14:35,275.8,1100
6/27/19 14:36,276,9100
6/27/19 14:37,275.8,18900
6/27/19 14:38,276,3400
6/27/19 14:39,276,4000
6/27/19 14:40,276,300
6/27/19 14:41,276,3100
6/27/19 14:42,276,1200
6/27/19 14:43,276,1700
6/27/19 14:44,276,4300
6/27/19 14:45,275.8,2100
6/27/19 14:46,276,4200
6/27/19 14:47,276,1400
6/27/19 14:48,276,1200
6/27/19 14:49,276,5400
6/27/19 14:50,275.8,30900
6/27/19 14:51,275.8,8200
6/27/19 14:52,276,7500
6/27/19 14:53,275.9,2200
6/27/19 14:54,275.8,700
6/27/19 14:55,276,700
6/27/19 14:56,276.2,78400
6/27/19 14:57,276.2,26700
6/27/19 14:58,276.2,4400
6/27/19 14:59,276.2,51100
6/27/19 15:00,276.3,3400
6/27/19 15:01,276.4,3300
6/27/19 15:02,276.4,39900
6/27/19 15:03,276.6,8000
6/27/19 15:04,276.6,1100
6/27/19 15:05,276.4,2500
6/27/19 15:06,276.4,34700
6/27/19 15:07,276.2,3200
6/27/19 15:08,276.2,1300
6/27/19 15:09,276,35900
6/27/19 15:10,276.2,20100
6/27/19 15:11,276.2,3500
6/27/19 15:12,276.2,7000
6/27/19 15:13,276.3,41000
6/27/19 15:14,276.4,2600
6/27/19 15:15,276.4,1700
6/27/19 15:16,276.4,1400
6/27/19 15:17,276.3,1000
6/27/19 15:18,276.3,1900
